t, position, vel
3.66, 6.813775000000003, 1.784999999999999
3.68, 6.849375000000004, 1.774999999999999
3.7, 6.884775000000003, 1.764999999999999
3.72, 6.919975000000003, 1.7549999999999992
3.74, 6.954975000000003, 1.7449999999999992
3.76, 6.989775000000003, 1.7349999999999992
3.78, 7.024375000000004, 1.724999999999999
3.8, 7.058775000000004, 1.7149999999999987
3.82, 7.0929750000000045, 1.7049999999999987
3.84, 7.126975000000004, 1.6949999999999987
3.86, 7.160775000000004, 1.684999999999999
3.88, 7.1943750000000035, 1.674999999999999
3.9, 7.227775000000002, 1.6649999999999994
3.92, 7.260975000000003, 1.6549999999999991
3.94, 7.293975000000003, 1.644999999999999
3.96, 7.326775000000003, 1.6349999999999991
3.98, 7.359375000000003, 1.6249999999999991
4.0, 7.391775000000003, 1.614999999999999
4.02, 7.423975000000003, 1.604999999999999
4.04, 7.455975000000003, 1.594999999999999
4.06, 7.487775000000003, 1.584999999999999
4.08, 7.519375000000003, 1.574999999999999
4.1, 7.550775000000003, 1.564999999999999
4.12, 7.581975000000004, 1.5549999999999986
4.14, 7.612975000000004, 1.5449999999999986
4.16, 7.643775000000004, 1.5349999999999986
4.18, 7.674375000000005, 1.5249999999999986
4.2, 7.704775000000005, 1.5149999999999981
4.22, 7.734975000000005, 1.5049999999999983
4.24, 7.764975000000005, 1.4949999999999983
4.26, 7.794775000000005, 1.4849999999999983
4.28, 7.824375000000005, 1.4749999999999983
4.3, 7.853775000000005, 1.4649999999999983
4.32, 7.882975000000005, 1.4549999999999983
4.34, 7.911975000000006, 1.4449999999999978
4.36, 7.940775000000006, 1.4349999999999978
4.38, 7.969375000000005, 1.4249999999999983
4.4, 7.997775000000004, 1.4149999999999983
4.42, 8.025975000000004, 1.4049999999999987
4.44, 8.053975000000005, 1.3949999999999985
4.46, 8.081775000000004, 1.3849999999999982
4.48, 8.109375000000004, 1.3749999999999984
4.5, 8.136775000000004, 1.3649999999999987
4.52, 8.163975000000004, 1.3549999999999986
4.54, 8.190975000000005, 1.3449999999999982
4.56, 8.217775000000005, 1.334999999999998
4.58, 8.244375000000005, 1.3249999999999982
4.6, 8.270775000000004, 1.3149999999999982
4.62, 8.296975000000003, 1.3049999999999986
4.64, 8.322975000000003, 1.2949999999999988
4.66, 8.348775000000003, 1.2849999999999988
4.68, 8.374375000000004, 1.2749999999999984
4.7, 8.399775000000004, 1.2649999999999983
4.72, 8.424975000000003, 1.2549999999999988
4.74, 8.449975000000004, 1.2449999999999986
4.76, 8.474775000000003, 1.2349999999999985
4.78, 8.499375000000002, 1.224999999999999
4.8, 8.523775000000002, 1.214999999999999
4.82, 8.547975000000003, 1.204999999999999
4.84, 8.571975000000002, 1.194999999999999
4.86, 8.595775000000001, 1.1849999999999994
4.88, 8.619375000000002, 1.1749999999999994
4.9, 8.642775000000002, 1.1649999999999994
4.92, 8.665975000000001, 1.1549999999999991
4.94, 8.688975000000001, 1.1449999999999994
4.96, 8.711775000000001, 1.1349999999999996
4.98, 8.734375, 1.1249999999999996
5.0, 8.756775, 1.1150000000000002
5.02, 8.778974999999999, 1.1050000000000002
5.04, 8.800975, 1.0950000000000002
5.06, 8.822774999999998, 1.0850000000000006
5.08, 8.844375, 1.0750000000000006
5.1, 8.865775, 1.0650000000000002
5.12, 8.886975, 1.0550000000000002
5.14, 8.907975, 1.0450000000000002
5.16, 8.928775, 1.035
5.18, 8.949375, 1.0250000000000001
5.2, 8.969775, 1.0150000000000001
5.22, 8.989975000000001, 1.0049999999999997
5.24, 9.009975, 0.9949999999999994
5.26, 9.029775, 0.9849999999999997
5.28, 9.049375000000001, 0.9749999999999996
5.3, 9.068775000000002, 0.9649999999999993
5.32, 9.087975000000002, 0.9549999999999987
5.34, 9.106975000000002, 0.9449999999999991
5.36, 9.125775000000003, 0.9349999999999989
5.38, 9.144375000000002, 0.9249999999999986
5.4, 9.162775000000002, 0.9149999999999989
5.42, 9.180975000000002, 0.9049999999999991
5.44, 9.198975000000003, 0.8949999999999989
5.46, 9.216775000000002, 0.8849999999999987
5.48, 9.234375000000002, 0.8749999999999989
5.5, 9.251775000000002, 0.8649999999999991
5.52, 9.268975000000003, 0.8549999999999988
5.54, 9.285975000000002, 0.8449999999999984
5.56, 9.302775000000002, 0.8349999999999986
5.58, 9.319375000000003, 0.8249999999999986
5.6, 9.335775000000002, 0.8149999999999984
5.62, 9.351975000000001, 0.8049999999999988
5.64, 9.367975000000001, 0.7949999999999992
5.66, 9.383775000000002, 0.7849999999999991
5.68, 9.399375000000003, 0.7749999999999988
5.7, 9.414775000000002, 0.7649999999999983
5.72, 9.429975000000002, 0.7549999999999983
5.74, 9.444975000000003, 0.7449999999999983
5.76, 9.459775000000002, 0.734999999999998
5.78, 9.474375000000002, 0.7249999999999985
5.8, 9.488775000000002, 0.7149999999999987
